rowid,pl_hostname,pl_letter,pl_pnum
2400,Kepler-409,b,1
2401,Kepler-41,b,1
2402,Kepler-410 A,b,1
2403,Kepler-411,b,2
2404,Kepler-411,c,2
2405,Kepler-412,b,1
2406,Kepler-413,b,1
2407,Kepler-414,b,2
2408,Kepler-414,c,2
2409,Kepler-415,b,2
2410,Kepler-415,c,2
2411,Kepler-416,b,2
2412,Kepler-416,c,2
2413,Kepler-417,b,2
2414,Kepler-417,c,2
2415,Kepler-418,b,1
2416,Kepler-419,b,2
2417,Kepler-419,c,2
2418,Kepler-42,b,3
2419,Kepler-42,c,3
2420,Kepler-42,d,3
2421,Kepler-420,b,1
2422,Kepler-421,b,1
2423,Kepler-422,b,1
2424,Kepler-423,b,1
2425,Kepler-424,b,2
2426,Kepler-424,c,2
2427,Kepler-425,b,1
2428,Kepler-426,b,1
2429,Kepler-427,b,1
2430,Kepler-428,b,1
2431,Kepler-43,b,1
2432,Kepler-430,b,2
2433,Kepler-430,c,2
2434,Kepler-431,b,3
2435,Kepler-431,c,3
2436,Kepler-431,d,3
2437,Kepler-432,b,2
2438,Kepler-432,c,2
2439,Kepler-433,b,1
2440,Kepler-434,b,1
2441,Kepler-435,b,1
2442,Kepler-436,b,2
2443,Kepler-436,c,2
2444,Kepler-437,b,1
2445,Kepler-438,b,1
2446,Kepler-439,b,1
2447,Kepler-44,b,1
2448,Kepler-440,b,1
2449,Kepler-441,b,1
2450,Kepler-442,b,1
2451,Kepler-443,b,1
2452,Kepler-444,b,5
2453,Kepler-444,c,5
2454,Kepler-444,d,5
2455,Kepler-444,e,5
2456,Kepler-444,f,5
2457,Kepler-445,b,3
2458,Kepler-445,c,3
2459,Kepler-445,d,3
2460,Kepler-446,b,3
2461,Kepler-446,c,3
2462,Kepler-446,d,3
2463,Kepler-447,b,1
2464,Kepler-449,b,2
2465,Kepler-449,c,2
2466,Kepler-45,b,1
2467,Kepler-450,b,3
2468,Kepler-450,c,3
2469,Kepler-450,d,3
2470,Kepler-452,b,1
2471,Kepler-453,b,1
2472,Kepler-454,b,2
2473,Kepler-454,c,2
2474,KIC 9663113,c,2
2475,Kepler-46,b,3
2476,Kepler-46,c,3
2477,Kepler-46,d,3
2478,KIC 5437945,c,2
2479,Kepler-461,b,1
2480,Kepler-462,b,1
2481,Kepler-463,b,1
2482,Kepler-464,b,1
2483,Kepler-465,b,1
2484,Kepler-466,b,2
2485,Kepler-466,c,2
2486,Kepler-467,b,1
2487,Kepler-468,b,1
2488,Kepler-47,b,2
2489,Kepler-47,c,2
2490,Kepler-470,b,1
2491,Kepler-471,b,1
2492,Kepler-472,b,1
2493,Kepler-473,b,1
2494,Kepler-474,b,1
2495,Kepler-475,b,1
2496,Kepler-476,b,1
2497,Kepler-477,b,1
2498,Kepler-478,b,1
2499,Kepler-479,b,1
2500,Kepler-48,b,4
2501,Kepler-48,c,4
2502,Kepler-48,d,4
2503,Kepler-48,e,4
2504,Kepler-480,b,1
2505,Kepler-481,b,1
2506,Kepler-482,b,1
2507,Kepler-483,b,1
2508,Kepler-484,b,1
2509,Kepler-485,b,1
2510,Kepler-486,b,1
2511,Kepler-487,b,2
2512,Kepler-487,c,2
2513,Kepler-488,b,1
2514,Kepler-489,b,1
2515,Kepler-49,b,4
2516,Kepler-49,c,4
2517,Kepler-49,d,4
2518,Kepler-49,e,4
2519,Kepler-490,b,1
2520,Kepler-491,b,1
2521,Kepler-492,b,1
2522,Kepler-493,b,1
2523,Kepler-494,b,1
2524,Kepler-495,b,1
2525,Kepler-496,b,1
2526,Kepler-497,b,1
2527,Kepler-498,b,1
2528,Kepler-499,b,1
2529,Kepler-5,b,1
2530,Kepler-50,b,2
2531,Kepler-50,c,2
2532,Kepler-500,b,1
2533,Kepler-501,b,1
2534,Kepler-502,b,1
2535,Kepler-503,b,1
2536,Kepler-504,b,1
2537,Kepler-505,b,1
2538,Kepler-506,b,1
2539,Kepler-507,b,1
2540,Kepler-508,b,1
2541,Kepler-509,b,1
2542,Kepler-51,b,3
2543,Kepler-51,c,3
2544,Kepler-51,d,3
2545,Kepler-510,b,1
2546,Kepler-511,b,1
2547,Kepler-512,b,1
2548,Kepler-513,b,1
2549,Kepler-514,b,1
2550,Kepler-515,b,1
2551,Kepler-516,b,1
2552,Kepler-517,b,1
2553,Kepler-518,b,1
2554,Kepler-519,b,1
2555,Kepler-52,b,3
2556,Kepler-52,c,3
2557,Kepler-52,d,3
2558,Kepler-520,b,2
2559,Kepler-520,c,2
2560,Kepler-521,b,1
2561,Kepler-522,b,1
2562,Kepler-523,b,1
2563,Kepler-524,b,2
2564,Kepler-524,c,2
2565,Kepler-525,b,1
2566,Kepler-526,b,1
2567,Kepler-527,b,1
2568,Kepler-528,b,1
2569,Kepler-529,b,2
2570,Kepler-529,c,2
2571,Kepler-53,b,3
2572,Kepler-53,c,3
2573,Kepler-53,d,3
2574,Kepler-530,b,1
2575,Kepler-531,b,1
2576,Kepler-532,b,1
2577,Kepler-533,b,1
2578,Kepler-534,b,1
2579,Kepler-535,b,1
2580,Kepler-536,b,1
2581,Kepler-537,b,1
2582,Kepler-538,b,1
2583,Kepler-539,b,2
2584,Kepler-539,c,2
2585,Kepler-54,b,3
2586,Kepler-54,c,3
2587,Kepler-54,d,3
2588,Kepler-540,b,1
2589,Kepler-541,b,1
2590,Kepler-542,b,1
2591,Kepler-543,b,1
2592,Kepler-544,b,1
2593,Kepler-545,b,1
2594,Kepler-546,b,1
2595,Kepler-547,b,1
2596,Kepler-548,b,1
2597,Kepler-549,b,2
2598,Kepler-549,c,2
2599,Kepler-55,b,5
2600,Kepler-55,c,5
2601,Kepler-55,d,5
2602,Kepler-55,e,5
2603,Kepler-55,f,5
2604,Kepler-550,b,1
2605,Kepler-551,b,1
2606,Kepler-552,b,1
2607,Kepler-553,b,2
2608,Kepler-553,c,2
2609,Kepler-554,b,1
2610,Kepler-555,b,1
2611,Kepler-556,b,1
2612,Kepler-557,b,1
2613,Kepler-558,b,1
2614,Kepler-559,b,1
2615,Kepler-56,b,3
2616,Kepler-56,c,3
2617,Kepler-56,d,3
2618,Kepler-560,b,1
2619,Kepler-561,b,2
2620,Kepler-561,c,2
2621,Kepler-562,b,1
2622,Kepler-563,b,1
2623,Kepler-564,b,1
2624,Kepler-565,b,1
2625,Kepler-566,b,1
2626,Kepler-567,b,1
2627,Kepler-568,b,1
2628,Kepler-569,b,1
2629,Kepler-57,b,2
2630,Kepler-57,c,2
2631,Kepler-570,b,1
2632,Kepler-571,b,1
2633,Kepler-572,b,1
2634,Kepler-573,b,1
2635,Kepler-574,b,1
2636,Kepler-575,b,1
2637,Kepler-576,b,1
2638,Kepler-577,b,1
2639,Kepler-578,b,1
2640,Kepler-579,b,1
2641,Kepler-58,b,3
2642,Kepler-58,c,3
2643,Kepler-58,d,3
2644,Kepler-580,b,1
2645,Kepler-581,b,1
2646,Kepler-582,b,1
2647,Kepler-583,b,1
2648,Kepler-584,b,1
2649,Kepler-585,b,1
2650,Kepler-586,b,1
2651,Kepler-587,b,1
2652,Kepler-588,b,1
2653,Kepler-589,b,1
2654,Kepler-59,b,2
2655,Kepler-59,c,2
2656,Kepler-590,b,1
2657,Kepler-591,b,1
2658,Kepler-592,b,1
2659,Kepler-593,b,1
2660,Kepler-594,b,1
2661,Kepler-595,b,1
2662,Kepler-596,b,1
2663,Kepler-597,b,1
2664,Kepler-598,b,1
2665,Kepler-599,b,1
2666,Kepler-6,b,1
2667,Kepler-60,b,3
2668,Kepler-60,c,3
2669,Kepler-60,d,3
2670,Kepler-600,b,1
2671,Kepler-601,b,1
2672,Kepler-602,b,1
2673,Kepler-603,b,3
2674,Kepler-603,c,3
2675,Kepler-603,d,3
2676,Kepler-604,b,1
2677,Kepler-605,b,2
2678,Kepler-605,c,2
2679,Kepler-606,b,1
2680,Kepler-607,b,1
2681,Kepler-608,b,1
2682,Kepler-609,b,1
2683,Kepler-61,b,1
2684,Kepler-610,b,2
2685,Kepler-610,c,2
2686,Kepler-611,b,1
2687,Kepler-612,b,1
2688,Kepler-613,b,1
2689,Kepler-614,b,1
2690,Kepler-615,b,1
2691,Kepler-616,b,2
2692,Kepler-616,c,2
2693,Kepler-617,b,1
2694,Kepler-618,b,1
2695,Kepler-619,b,2
2696,Kepler-619,c,2
2697,Kepler-62,b,5
2698,Kepler-62,c,5
2699,Kepler-62,d,5
2700,Kepler-62,e,5
2701,Kepler-62,f,5
2702,Kepler-620,b,1
2703,Kepler-621,b,1
2704,Kepler-622,b,1
2705,Kepler-623,b,1
2706,Kepler-624,b,1
2707,Kepler-625,b,2
2708,Kepler-625,c,2
2709,Kepler-626,b,1
2710,Kepler-627,b,1
2711,Kepler-628,b,1
2712,Kepler-629,b,1
2713,Kepler-63,b,1
2714,Kepler-630,b,1
2715,Kepler-631,b,1
2716,Kepler-632,b,1
2717,Kepler-633,b,1
2718,Kepler-634,b,1
2719,Kepler-635,b,1
2720,Kepler-636,b,1
2721,Kepler-637,b,1
2722,Kepler-638,b,1
2723,Kepler-639,b,1
2724,Kepler-640,b,1
2725,Kepler-641,b,1
2726,Kepler-642,b,1
2727,Kepler-643,b,1
2728,Kepler-644,b,1
2729,Kepler-645,b,1
2730,Kepler-646,b,1
2731,Kepler-647,b,1
2732,Kepler-648,b,1
2733,Kepler-649,b,1
2734,Kepler-65,b,3
2735,Kepler-65,c,3
2736,Kepler-65,d,3
2737,Kepler-650,b,1
2738,Kepler-651,b,1
2739,Kepler-652,b,1
2740,Kepler-653,b,2
2741,Kepler-653,c,2
2742,Kepler-654,b,1
2743,Kepler-655,b,1
2744,Kepler-656,b,1
2745,Kepler-657,b,1
2746,Kepler-658,b,1
2747,Kepler-659,b,1
