full_name,name,prefix,diameter,BV,UB,IR,spec_B,spec_T
"   223 Rosa",Rosa,,79.806,.706,.285,,,X
"   224 Oceana",Oceana,,58.236,.748,.201,,,M
"   225 Henrietta",Henrietta,,95.934,.648,.282,,,F
"   226 Weringia",Weringia,,31.494,,,,S,
"   227 Philosophia",Philosophia,,123.891,,,,,
"   228 Agathe",Agathe,,9.30,.918,.596,,S,S
"   229 Adelinda",Adelinda,,105.912,.708,.253,,,BCU
"   230 Athamantis",Athamantis,,111.332,.871,.440,,Sl,S
"   231 Vindobona",Vindobona,,73.545,,,,,
"   232 Russia",Russia,,49.863,.709,.366,,,C
"   233 Asterope",Asterope,,99.672,.775,.321,,K,T
"   234 Barbara",Barbara,,45.476,.897,.488,,Ld,S
"   235 Carolina",Carolina,,57.517,.897,.541,,,S
"   236 Honoria",Honoria,,77.708,.852,.444,,L,S
"   237 Coelestina",Coelestina,,41.08,.787,.413,,S,S
"   238 Hypatia",Hypatia,,155.659,.739,.383,,Ch,C
"   239 Adrastea",Adrastea,,37.609,,,,,
"   240 Vanadis",Vanadis,,87.928,.705,.368,,C,C
"   241 Germania",Germania,,168.90,.689,.289,,B,CP
"   242 Kriemhild",Kriemhild,,40.802,,,,Xc,
"   243 Ida",Ida,,32,.802,.416,,S,S
"   244 Sita",Sita,,11.077,,,,Sa,
"   245 Vera",Vera,,75.949,.841,.476,,S,S
"   246 Asporina",Asporina,,50.891,.990,.602,,A,A
"   247 Eukrate",Eukrate,,130.935,.691,.295,,Xc,CP
"   248 Lameia",Lameia,,50.120,.830,.340,,,
"   249 Ilse",Ilse,,34.83,.750,.330,,,
"   250 Bettina",Bettina,,120.995,.728,.262,,Xk,M
"   251 Sophia",Sophia,,27.495,,,,,
"   252 Clementina",Clementina,,65.344,,,,,
"   253 Mathilde",Mathilde,,52.8,,,,Cb,
"   254 Augusta",Augusta,,12.467,.845,.505,,,S
"   255 Oppavia",Oppavia,,56.939,.764,.275,,,X
"   256 Walpurga",Walpurga,,66.634,,,,,
"   257 Silesia",Silesia,,72.66,.761,.384,,Ch,SCTU
"   258 Tyche",Tyche,,64.78,.876,.459,,S,S
"   259 Aletheia",Aletheia,,174.318,.698,.311,,X,CP
"   260 Huberta",Huberta,,101.539,.714,.306,,,CX:
"   261 Prymno",Prymno,,50.011,.700,.299,,X,B
"   262 Valda",Valda,,14.645,.850,.557,,,S
"   263 Dresda",Dresda,,23.952,,,,S,
"   264 Libussa",Libussa,,62.969,.840,.419,,S,S
"   265 Anna",Anna,,22.767,,,,,
"   266 Aline",Aline,,109.494,.707,.336,,Ch,C
"   267 Tirza",Tirza,,55.998,,,,D,DU
"   268 Adorea",Adorea,,144.585,.663,.285,,,FC
"   269 Justitia",Justitia,,50.728,,,,Ld,
"   270 Anahita",Anahita,,51.400,.866,.530,,,S
"   271 Penthesilea",Penthesilea,,65.901,.724,.348,,,PC
"   272 Antonia",Antonia,,26.870,,,,X,
"   273 Atropos",Atropos,,29.768,.760,.374,,,SCTU
"   274 Philagoria",Philagoria,,27.307,,,,,
"   275 Sapientia",Sapientia,,103,.723,.324,,C,X
"   276 Adelheid",Adelheid,,114.723,.708,.271,,,X
"   277 Elvira",Elvira,,30.422,.806,.436,,,S
"   278 Paulina",Paulina,,32.773,,,,S,
"   279 Thule",Thule,,126.59,.746,.232,,X,D
"   280 Philia",Philia,,45.69,.650,.220,,,
"   281 Lucretia",Lucretia,,11.036,.918,.530,,S,SU
"   282 Clorinde",Clorinde,,39.03,.628,.274,,B,BFU::
"   283 Emma",Emma,,132.385,.712,.297,,,X
"   284 Amalia",Amalia,,52.95,.698,.380,,Ch,CX
"   285 Regina",Regina,,47.156,,,,,
"   286 Iclea",Iclea,,94.30,.690,.328,,Ch,CX
"   287 Nephthys",Nephthys,,59.615,.873,.490,,,S
"   288 Glauke",Glauke,,28.981,.845,.407,,S,S
"   289 Nenetta",Nenetta,,37.586,1.047,.655,,A,A
"   290 Bruna",Bruna,,9.822,,,,,
"   291 Alice",Alice,,10.456,,,,,
"   292 Ludovica",Ludovica,,30.864,.860,.440,,,
"   293 Brasilia",Brasilia,,57.486,.721,.352,,,CX
"   294 Felicia",Felicia,,51.865,,,,,
"   295 Theresia",Theresia,,28.340,.862,.501,,S,S
"   296 Phaetusa",Phaetusa,,8.196,.887,.463,,,S
"   297 Caecilia",Caecilia,,39.48,,,,,
"   298 Baptistina",Baptistina,,21.135,,,,,
"   299 Thora",Thora,,15.757,,,,,
"   300 Geraldina",Geraldina,,67.373,,,,,
"   301 Bavaria",Bavaria,,53.042,,,,C,
"   302 Clarissa",Clarissa,,38.53,.639,.294,,,F
"   303 Josephina",Josephina,,124.923,,,,,
"   304 Olga",Olga,,65.990,.708,.249,,Xc,C
"   305 Gordonia",Gordonia,,47.739,.919,.507,,,S
"   306 Unitas",Unitas,,47.200,.864,.453,,S,S
"   307 Nike",Nike,,61.313,.669,.267,,,CX
"   308 Polyxo",Polyxo,,128.578,.783,.379,,T,T
"   309 Fraternitas",Fraternitas,,41.075,,,,,
"   310 Margarita",Margarita,,33.708,,,,S,
"   311 Claudia",Claudia,,26.300,.843,.437,,,S
"   312 Pierretta",Pierretta,,46.191,.843,.429,,Sk,S
"   313 Chaldaea",Chaldaea,,77.853,.715,.342,,,C
"   314 Rosalia",Rosalia,,60.689,,,,,
"   315 Constantia",Constantia,,6.534,,,,,
"   316 Goberta",Goberta,,56.067,,,,,
"   317 Roxane",Roxane,,18.648,.694,.238,,Xe,E
"   318 Magdalena",Magdalena,,85,.685,.290,,,CXF
"   319 Leona",Leona,,49.943,,,,,
"   320 Katharina",Katharina,,23.362,,,,,
"   321 Florentina",Florentina,,27.974,.792,.410,,S,S
"   322 Phaeo",Phaeo,,69.855,.719,.230,,X,X
"   323 Brucia",Brucia,,27.714,.893,.480,,,S
"   324 Bamberga",Bamberga,,220.691,.695,.309,,,CP
"   325 Heidelberga",Heidelberga,,75.72,.714,.268,,,M
"   326 Tamara",Tamara,,93.00,.708,.318,,,C
"   327 Columbia",Columbia,,30.291,,,,Sl,
"   328 Gudrun",Gudrun,,145.680,,,,,S
"   329 Svea",Svea,,81.057,.698,.331,,,C
"   330 Adalberta (A910 CB)",Adalberta,,9.111,,,,,
"   331 Etheridgea",Etheridgea,,74.92,.698,.298,,C,CX
"   332 Siri",Siri,,40.37,,,,Xk,
"   333 Badenia (1892 A)",Badenia,,72.199,.773,.401,,,C:
"   334 Chicago (1892 L)",Chicago,,198.770,.736,.358,,,C
"   335 Roberta (1892 C)",Roberta,,97.109,.624,.235,,B,FP
"   336 Lacadiera (1892 D)",Lacadiera,,67.513,.733,.273,,Xk,D
"   337 Devosa (1892 E)",Devosa,,64.549,.731,.290,,X,X
"   338 Budrosa (1892 F)",Budrosa,,50.506,.704,.247,,Xk,M
"   339 Dorothea (1892 G)",Dorothea,,44.329,.783,.405,,K,S
"   340 Eduarda (1892 H)",Eduarda,,28.025,,,,,S
"   341 California (1892 J)",California,,15.830,.920,,,,S
"   342 Endymion (1892 K)",Endymion,,60.903,.712,.356,,Ch,C
"   343 Ostara (1892 N)",Ostara,,18.213,.770,.463,,,CSGU
"   344 Desiderata (1892 M)",Desiderata,,124.181,.725,.382,,,C
"   345 Tercidina (1892 O)",Tercidina,,96.865,.729,.411,,Ch,C
"   346 Hermentaria (1892 P)",Hermentaria,,86.447,.843,.485,,S,S
"   347 Pariana (1892 Q)",Pariana,,48.615,.685,.259,,,M
"   348 May (1892 R)",May,,82.82,,,,X,
"   349 Dembowska (1892 T)",Dembowska,,139.77,.945,.540,,R,R
"   350 Ornamenta (1892 U)",Ornamenta,,128.729,.702,.360,,,C
"   351 Yrsa (1892 V)",Yrsa,,39.720,.835,.410,,,S
"   352 Gisela (1893 B)",Gisela,,26.744,.904,.539,,Sl,S
"   353 Ruperto-Carola (1893 F)",Ruperto-Carola,,14.025,,,,S,
"   354 Eleonora (1893 A)",Eleonora,,148.970,.949,.601,,Sl,S
"   355 Gabriella (1893 E)",Gabriella,,24.040,,,,S,
"   356 Liguria (1893 G)",Liguria,,145.503,.733,.349,,,C
"   357 Ninina (1893 J)",Ninina,,124.107,.715,.350,,,CX
"   358 Apollonia (1893 K)",Apollonia,,90.116,,,,Ch,
"   359 Georgia (1893 M)",Georgia,,43.89,.723,.303,,X,CX
"   360 Carlova (1893 N)",Carlova,,129.125,.692,.269,,C,C
