Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
Hip 94886,,,,
Hip 95296,,,,
Hip 105541,,,,
BD+22°75,,,,
BD+06°405,,,,
Hip 15045,,,,
Hip 17825,,,,
Hip 19807,,,,
Hip 22881,,,,G6/G8III
32 Orionis,32 Orionis,,,B5V
Hip 33952,,,,G5
BD+37°1895,,,,
Hip 77164,,,,
Hip 78998,,,,
Hip 80200,,,,F5IV/V
Hip 87447,,,,F0/F2IV
Hip 96041,,,,
24 Psi Cygni,24 Psi Cygni,,,A4Vn
Hip 103484,,,,
Hip 109573,,,,
BD+00°4905,,,,
Hip 343,,,,K0III
Hip 1766,,,,K2III
BD+65°43,,,,
60 Arietis,60 Arietis,,,K3III:
BD-09°643,,,,
Hip 18492,,,,A5IV/V
Hip 19688,,,,A6V
Hip 44843,,,,K0
BD+18°2295,,,,
BD+40°2376,,,,
54 Leonis,54 Leonis,,,A1
Hip 60044,,,,A1V
BD+54°1609,,,,
BD-08°3733,,,,
Hip 78674,,,,
BD-12°4525,,,,
Hip 85468,,,,
Hip 89045,,,,F8
BD-18°5504,,,,
Hip 104470,,,,
Hip 105430,,,,A2
Hip 109299,,,,
Hip 1394,,,,
BD+19°61,,,,
BD+10°161,,,,
BD-12°469,,,,
BD+26°761,,,,
Hip 24039,,,,
Hip 29272,,,,
Hip 31876,,,,A2V
Hip 36435,,,,F2V
BD+01°2090,,,,
BD+51°1454,,,,
Hip 51448,,,,A7III
Hip 54884,,,,
Hip 55081,,,,A3
BD-21°3324,,,,
BD+12°2421,,,,
BD+43°2216,,,,
BD+04°2624,,,,
BD+31°2443,,,,
Hip 65183,,,,A2/A3V
BD+09°2767,,,,
Hip 75654,,,,
BD-08°4331,,,,
BD+22°3150,,,,
Hip 86994,,,,
43 Phi Draconis,43 Phi Draconis,,,A0p (Si)
BD+75°668,,,,
Hip 94067,,,,K0
Hip 98148,,,,
Hip 109873,,,,
BD+68°1385,,,,
Hip 116959,,,,
8 Iota Ceti,8 Iota Ceti,,,K2III
49 Andromedae,49 Andromedae,,,K0III
Hip 9673,,,,
Hip 17669,,,,
Hip 21863,,,,F5
NN 3422,,NN 3422,,K3III
Hip 39007,,,,
BD+31°1735,,,,
Hip 53762,,,,B8/B9V
BD-19°3328,,,,
BD+10°2341,,,,
Hip 59396,,,,F0III
Hip 92676,,,,A2V
Hip 95515,,,,
Hip 105392,,,,
Hip 118259,,,,A2
Hip 20257,,,,A3
BD+15°723,,,,
BD+22°1080,,,,
Hip 65291,,,,
BD-12°3950,,,,
Hip 73160,,,,F2
BD+02°2952,,,,
BD-12°4493,,,,
Hip 90011,,,,
Hip 91105,,,,G8III
Hip 109349,,,,A0
21 Cassiopeiae,21 Cassiopeiae,,,A2IV
Hip 4025,,,,F0
BD+14°263,,,,
Hip 10570,,,,F3V
BD+21°361,,,,
BD+48°884,,,,
97 Kappa 2 Ceti,97 Kappa 2 Ceti,,,G8.5III
Hip 18887,,,,F0
Hip 25730,,,,F6III
Hip 26957,,,,G0
17 Beta Cancri,17 Beta Cancri,,,K4III
Hip 52311,,,,
BD+40°2445,,,,
Hip 59590,,,,
BD+28°2134,,,,
Hip 63240,,,,F5
BD+23°2544,,,,
Hip 67596,,,,A5IV
Hip 69228,,,,
BD+10°2791,,,,
Hip 74896,,,,G5IV
BD-11°3931,,,,
Hip 79166,,,,F0V
BD-11°4117,,,,
BD+24°3038,,,,
BD+25°3200,,,,
51 Sagittarii,51 Sagittarii,,,A1m...
Hip 103391,,,,K0
Hip 111924,,,,F0
Hip 111982,,,,
BD+01°4657,,,,
BD-06°145,,,,
BD+17°189,,,,
Hip 17054,,,,
Hip 22515,,,,
Hip 44702,,,,
Hip 54674,,,,A5
BD+23°2463,,,,
BD+01°2739,,,,
Mu Lupi,Mu Lupi,,,B8V
Hip 74915,,,,A2/A3V:
BD-17°6003,,,,
Hip 103962,,,,
43 Kappa Capricorni,43 Kappa Capricorni,,,G8III
Hip 108102,,,,K2III
BD-16°6142,,,,
Mu Sulptoris,Mu Sulptoris,,,K0III
BD+77°936,,,,
BD-02°26,,,,
BD+46°237,,,,
Hip 6254,,,,
Hip 8449,,,,
43 Omega 1 Tau,43 Omega 1 Tau,,,K2III
Hip 22643,,,,
64 Eridani,64 Eridani,,,F0V
Hip 32319,,,,A2m...
Hip 45461,,,,F0III
Hip 46966,,,,
Hip 50973,,,,
BD+55°1435,,,,
BD+54°1480,,,,
BD+45°2070,,,,
Hip 75848,,,,Ap
BD+01°3126,,,,
Hip 79472,,,,A2
Hip 98225,,,,
Hip 100097,,,,A2Vs
BD+18°4896,,,,
BD-11°242,,,,
BD-11°478,,,,
BD+56°880,,,,
BD+10°2167,,,,
Hip 60266,,,,Am
BD+24°2522,,,,
Hip 64177,,,,
Hip 67223,,,,
Hip 81522,,,,
Hip 85681,,,,
Hip 88349,,,,A2
Hip 93984,,,,K2
Hip 104200,,,,
Hip 104287,,,,
Hip 104673,,,,F5V
BD+48°3842,,,,
Hip 116781,,,,F2IV
Hip 117760,,,,F2V
BD+49°275,,,,
BD+15°182,,,,
Hip 8250,,,,
Mu Hydri,Mu Hydri,,,G4III
Hip 12148,,,,K0III:
BD+17°641,,,,
BD+21°671,,,,
Hip 28085,,,,K0/K1III
BD+36°1316,,,,
Hip 33766,,,,
BD+45°1468,,,,
Hip 37863,,,,F0
BD+45°1486,,,,
Hip 40793,,,,G8III
BD-10°3020,,,,
BD+07°2266,,,,
Hip 50520,,,,A1V
Hip 57253,,,,A2/A3V
Hip 64976,,,,F8IV
BD+55°1623,,,,
Hip 66813,,,,
Hip 72029,,,,F2
Hip 83218,,,,F2
Hip 83235,,,,K2IIICN...
BD+81°610,,,,
Gamma Scuti,Gamma Scuti,,,A1IV/V
61 Sagittarii,61 Sagittarii,,,A2V
Hip 101787,,,,F6/F7V
Hip 106488,,,,A2
Hip 108389,,,,F5
BD+56°2737,,,,
BD+41°4504,,,,
BD-22°6108,,,,
Hip 116363,,,,
20 Piscium,20 Piscium,,,G8III
87 Pegasi,87 Pegasi,,,G9III
BD+57°531,,,,
Hip 20649,,,,
BD+21°857,,,,
BD-11°2520,,,,
Hip 48164,,,,A3
Hip 57739,,,,
BD+52°1616,,,,
BD-02°3487,,,,
BD+21°2468,,,,
BD+10°2564,,,,
20 Sigma Librae,20 Sigma Librae,,,M3/M4III
Hip 73914,,,,F0
BD+02°2963,,,,
Hip 76569,,,,K0III
BD+03°3166,,,,
Hip 80490,,,,
BD+61°1619,,,,
Hip 83802,,,,A7III
Hip 93624,,,,K0/K1III
Hip 97766,,,,F2
Hip 103224,,,,F0V
Hip 104771,,,,A7Vn
Hip 117454,,,,
Hip 4493,,,,
BD+12°132,,,,
Hip 6507,,,,A9V
Hip 42796,,,,
Hip 71510,,,,F8
BD+17°2804,,,,
Hip 81240,,,,
Hip 81741,,,,G1II
Hip 104246,,,,
Hip 116056,,,,
Hip 819,,,,
BD-02°106,,,,
48 Epsilon Arietis,48 Epsilon Arietis,,,A2Vs
BD-03°1050,,,,
Hip 30728,,,,G9III
BD+63°692,,,,
BD+15°1577,,,,
Hip 36312,,,,
Hip 36732,,,,K0III
Hip 37372,,,,A4V
Hip 56797,,,,A3V
BD+11°2527,,,,
Hip 65595,,,,G2.5IIIb
BD+59°1535,,,,
BD-05°3775,,,,
Hip 75580,,,,G5
BD+69°798,,,,
BD+42°2885,,,,
BD-02°4549,,,,
BD+18°4091,,,,
BD+17°4653,,,,
Hip 110105,,,,
BD+24°4582,,,,
BD+15°4784,,,,
Hip 1123,,,,A1V
7 Trianguli,7 Trianguli,,,A0V
Hip 14600,,,,F0
BD+13°563,,,,
Hip 24968,,,,
BD+21°892,,,,
Hip 27813,,,,
BD+39°1589,,,,
BD+72°372,,,,
BD+33°1644,,,,
Hip 47187,,,,K0III
19 Leonis,19 Leonis,,,A7Vn
Hip 50552,,,,K0
BD+21°2289,,,,
BD+79°371,,,,
BD-16°3337,,,,
BD+66°805,,,,
BD+32°2402,,,,
Hip 69157,,,,
Hip 70452,,,,F4III
Hip 71302,,,,
BD+17°2824,,,,
BD-00°3051,,,,
Hip 79432,,,,
BD+47°2339,,,,
Hip 86179,,,,A3
Hip 88739,,,,
Hip 90687,,,,K0III
Hip 91279,,,,G8IV
BD+60°1855,,,,
Kappa Telescopii,Kappa Telescopii,,,G8/K0III
Hip 92872,,,,G9III
Hip 94627,,,,F0
Hip 100159,,,,F0
Hip 100238,,,,
Hip 102491,,,,
BD+08°4647,,,,
Hip 105723,,,,
Hip 105845,,,,
BD+21°4658,,,,
Hip 109820,,,,F2V
BD-01°4336,,,,
Hip 113184,,,,K0III-IV
BD-07°5943,,,,
BD+69°1368,,,,
BD+01°4825,,,,
Hip 1094,,,,
Hip 13341,,,,
BD+49°1222,,,,
Hip 21849,,,,A8IV
BD+14°745,,,,
BD+10°1682,,,,
BD+32°2100,,,,
Hip 57796,,,,
BD+41°2715,,,,
BD-20°4524,,,,
Hip 84131,,,,
Hip 87070,,,,F0/F2III
Hip 102579,,,,F2V
BD+19°19,,,,
BD+47°312,,,,
Hip 13227,,,,
Hip 13883,,,,A2m
Hip 15456,,,,F2
BD+13°565,,,,
BD-03°625,,,,
BD-11°770,,,,
BD+06°707,,,,
BD+43°2181,,,,
Hip 59015,,,,F5
Hip 65224,,,,A9III
Hip 67555,,,,F6IV/V
Hip 68586,,,,
Hip 70629,,,,
Hip 71697,,,,G8III
BD+12°2937,,,,
BD+27°2597,,,,
Hip 80964,,,,F2
BD+47°2406,,,,
Hip 98382,,,,A2
Hip 113885,,,,
Hip 11489,,,,
Hip 25608,,,,A0V
Hip 30106,,,,
Hip 44240,,,,
Hip 45421,,,,F2III
Hip 50260,,,,
Hip 55520,,,,
Hip 58346,,,,
BD+24°2441,,,,G5
BD-22°3634,,,,
BD-00°3260,,,,
Hip 89932,,,,
Hip 92977,,,,G8III
Hip 102710,,,,
Hip 103941,,,,
48 Lambda Capricorni,48 Lambda Capricorni,,,A1V
Hip 112747,,,,
Hip 114830,,,,
99 Eta Piscium,99 Eta Piscium,,,G8III
BD+20°756,,,,
Hip 25045,,,,A2/A3
BD-04°2489,,,,
BD+36°1921,,,,
Hip 52874,,,,
BD-13°3470,,,,
BD+31°2322,,,,
BD+33°2486,,,,
Hip 79559,,,,
Hip 80161,,,,K2III
Hip 80605,,,,
BD+24°3085,,,,
Hip 82837,,,,F3V
Hip 88162,,,,
Hip 100256,,,,A5m
Hip 101395,,,,
BD+48°3346,,,,
BD-22°5714,,,,
Hip 112930,,,,F3V
Upsilon Gruis,Upsilon Gruis,,,A0V
Hip 115272,,,,Fm...
13 Andromedae,13 Andromedae,,,B9III
BD+04°73,,,,
Hip 3920,,,,
Hip 4319,,,,
Hip 7628,,,,F0IV
Hip 9471,,,,
BD+05°328,,,,
BD+48°1464,,,,
Hip 35578,,,,A7m...
Hip 38868,,,,K0III
Hip 44217,,,,
BD+44°1920,,,,
BD+20°2522,,,,
BD+62°1155,,,,
Hip 55126,,,,Fm...
Hip 55659,,,,
BD+56°1539,,,,
Hip 69775,,,,F0
Hip 69929,,,,Ap Si(Cr)
Hip 71351,,,,
BD-10°4119,,,,
BD+01°3304,,,,
Hip 86596,,,,F8IV
BD-19°4796,,,,
BD+64°1290,,,,
Hip 96845,,,,F8
Hip 97738,,,,F6V
Hip 100503,,,,K0
Hip 106824,,,,
Hip 109147,,,,A2
BD-22°5862,,,,
Hip 117048,,,,
Zeta Hydri,Zeta Hydri,,,A2IV/V
Hip 21070,,,,
Hip 22013,,,,B9
Hip 22028,,,,A1V
Hip 49336,,,,F6V
Hip 58082,,,,G8III
BD+22°2429,,,,
Hip 68739,,,,K0
Hip 72552,,,,A4V
NN 3881,,NN 3881,,K1III
Theta Normae,Theta Normae,,,B8V
BD+23°2981,,,,
Hip 84230,,,,F0
Hip 92959,,,,
Hip 99318,,,,
Hip 100947,,,,F8
BD+39°2037,,,,
Hip 43635,,,,F2
Hip 48513,,,,F3V
Hip 50114,,,,
Hip 57230,,,,
BD+18°2542,,,,
Hip 59437,,,,
BD+30°2283,,,,
Hip 65383,,,,
BD+45°2209,,,,
BD+25°2850,,,,
Hip 75004,,,,
Hip 81682,,,,
59 Herculis,59 Herculis,,,A3IV
Hip 86551,,,,
BD-05°5720,,,,
Hip 113833,,,,
BD+50°650,,,,
BD+13°571,,,,
BD+42°1954,,,,
BD+35°1952,,,,
Hip 46617,,,,F2IV
Hip 48223,,,,G8III/IV
Hip 52352,,,,A7m...
Hip 54218,,,,F0
BD+25°2706,,,,
Hip 78711,,,,
Hip 81840,,,,A2p...
Hip 84198,,,,F2V
Hip 95833,,,,F0
BD-04°5124,,,,F5
Hip 104726,,,,F2
BD-09°6118,,,,
Hip 4592,,,,K0
BD+57°479,,,,
19 Tau 5 Eridani,19 Tau 5 Eridani,,,B9V
Hip 17119,,,,F8
Hip 28047,,,,G3IV/V
Hip 31831,,,,
Hip 32376,,,,F0
BD+60°1001,,,,
BD+75°276,,,,
Hip 34293,,,,
BD+30°1430,,,,
BD+78°254,,,,G0
BD+66°567,,,,
Hip 43300,,,,
BD+44°1809,,,,
BD+43°1935,,,,
BD+13°2460,,,,
Hip 59016,,,,K1III
Hip 59924,,,,
BD+31°2626,,,,
BD-20°4137,,,,
Hip 75236,,,,
Hip 82737,,,,A2IV
Hip 84419,,,,
BD+09°3399,,,,
Hip 87896,,,,A2
Hip 89487,,,,K0III/IV
BD+37°3070,,,,
Hip 90775,,,,A9IV
Hip 94556,,,,G8III
BD+17°4083,,,,
Hip 105251,,,,
BD+39°4579,,,,F5
Delta 1 Gruis,Delta 1 Gruis,,,G6/G8III
Hip 690,,,,
Hip 3919,,,,A0p...
Hip 4225,,,,
Hip 6104,,,,
BD+05°653,,,,
98 Tau,98 Tau,,,A0V
Hip 23730,,,,F2
Hip 40680,,,,K1III
Hip 41055,,,,F0IV
Hip 43620,,,,A0V
Hip 54159,,,,
BD+03°2457,,,,
Hip 60123,,,,Am
BD+05°2613,,,,
Hip 61213,,,,
Hip 66108,,,,
BD-17°4214,,,,
Hip 74037,,,,F4III SB
Hip 78186,,,,
BD+06°3347,,,,
Hip 107499,,,,
Hip 107573,,,,A5
BD+28°4442,,,,
BD-22°153,,,,
Hip 8422,,,,
Hip 13499,,,,
BD-17°837,,,,
Hip 21425,,,,
Hip 22137,,,,A5
BD+34°917,,,,
Hip 35253,,,,G7IV
Hip 38413,,,,
BD+44°2025,,,,
Hip 58591,,,,A0
BD+28°2403,,,,
BD-06°4147,,,,
Hip 94789,,,,A4IV/V
6 Alpha Vulpeculae,6 Alpha Vulpeculae,,,M0 comp
Hip 108439,,,,Am
BD-16°6167,,,,
BD-05°6012,,,,
Hip 10876,,,,
BD-04°621,,,,
Hip 29094,,,,
Hip 44578,,,,A5
BD+44°2068,,,,
BD+10°2477,,,,
BD+16°2432,,,,
Hip 66376,,,,A3m...
BD+14°2796,,,,
Hip 81357,,,,K0III
BD+73°733,,,,
Hip 83138,,,,K1III:
Hip 90997,,,,F0III
Hip 39,,,,F3V
Hip 4676,,,,F5
BD-15°455,,,,
BD+15°499,,,,
Hip 26054,,,,A2m
Hip 35711,,,,
BD+25°1969,,,,
Hip 46873,,,,A4V
Hip 46897,,,,B9.5V
Hip 50993,,,,F2III
Hip 56754,,,,B9IV
Hip 59061,,,,F0
BD-17°3672,,,,
Hip 62474,,,,
Hip 64496,,,,G8III
Hip 90218,,,,F0
Hip 94041,,,,G8III/IV
BD+25°4193,,,,
BD+42°3805,,,,
Hip 117785,,,,F2
BD+07°145,,,,
BD+06°279,,,,G1IV
Hip 15473,,,,
42 Persei,42 Persei,,,A3V
Hip 19126,,,,
BD+64°457,,,,F5
BD+73°257,,,,
Hip 35384,,,,A4IIIn
Hip 36104,,,,
Hip 46504,,,,F0Vn
BD-15°2900,,,,
BD-03°2815,,,,
BD+03°2344,,,,
BD+04°2514,,,,
Hip 59360,,,,A3V
BD+19°2641,,,,
Hip 66170,,,,
3 Centauri,3 Centauri,,,B5
BD+15°2643,,,,
BD+38°2694,,,,
BD+27°2537,,,,
Hip 80060,,,,F0III/IV
Hip 81016,,,,Am
Hip 84665,,,,
Hip 85422,,,,
Hip 85474,,,,F5IV
BD+42°3233,,,,
Hip 94552,,,,
Hip 95275,,,,
Hip 99097,,,,Am
Hip 107061,,,,
Hip 107088,,,,F3IV/V
Hip 108088,,,,
BD-13°6215,,,,
Hip 115731,,,,
BD-07°6046,,,,
Hip 117371,,,,A1Vn
Hip 6780,,,,
Hip 7917,,,,
BD-00°302,,,,
BD+60°495,,,,
Hip 21141,,,,
Hip 32091,,,,A+...
Hip 32931,,,,A2Vs
Hip 42874,,,,A2
Hip 46321,,,,F5
BD+10°2302,,,,
44 Virginis,44 Virginis,,,A3V
Hip 66066,,,,F0
Hip 67919,,,,A9V
BD+41°2485,,,,
BD-13°4158,,,,
Hip 87689,,,,
Hip 99169,,,,F5
18 Sagittae,18 Sagittae,,,K1III
BD-22°5614,,,,
Hip 105047,,,,B9
Hip 108808,,,,
Hip 111426,,,,
BD-08°128,,,,
BD+04°261,,,,
Hip 7586,,,,
Hip 9403,,,,A3IV
Hip 13913,,,,F0
Hip 23935,,,,F0V
Hip 25483,,,,A0
Hip 31197,,,,F5V
Hip 35857,,,,
BD+40°1916,,,,
BD+32°1620,,,,
48 Iota Cancri,48 Iota Cancri,,,G8Iab:
Hip 51908,,,,G0IV
Hip 55289,,,,
Hip 56287,,,,K1IIICN...
Hip 62172,,,,F6IV
Hip 64823,,,,K3III
BD+22°2706,,,,
BD+33°2491,,,,
Hip 77333,,,,
12 Scorpii,12 Scorpii,,,B9V
BD+47°2367,,,,
BD+48°2681,,,,
Hip 96286,,,,A9V
Hip 97416,,,,A0
Hip 100123,,,,F8IV/V
Hip 103777,,,,A3V
BD-16°6081,,,,
BD+24°4627,,,,
Hip 111971,,,,
Hip 116232,,,,
Hip 117961,,,,
Hip 2288,,,,
BD+04°212,,,,
Hip 18331,,,,
BD+16°538,,,,
BD+13°625,,,,
Hip 28579,,,,G0IV
Hip 30275,,,,A2
Hip 39286,,,,F0III
BD+47°1608,,,,
Hip 46384,,,,
Hip 46522,,,,A0
BD+27°1860,,,,
Hip 61999,,,,
BD-06°3944,,,,
BD-18°3837,,,,
Hip 79520,,,,
Hip 98779,,,,
Hip 99621,,,,
Hip 115769,,,,G8III
BD-02°6021,,,,
Hip 357,,,,F2V
Hip 12522,,,,
BD-17°715,,,,
Hip 23876,,,,
Hip 28508,,,,
BD+40°1577,,,,
Hip 39535,,,,B9V
Hip 43791,,,,
Hip 52118,,,,
Hip 53524,,,,A8III
Hip 53542,,,,F0IV/V
Hip 54795,,,,F8/G0IV
BD+36°2254,,,,
BD+25°2722,,,,
Hip 74145,,,,Ap
Hip 80421,,,,A2/A3V
BD+17°4123,,,,
Hip 101006,,,,F2IV/V
Hip 103921,,,,
BD+26°6,,,,
Hip 971,,,,F0
Hip 1234,,,,F5
Hip 4830,,,,
Hip 5137,,,,
Hip 5514,,,,
BD+10°230,,,,
Hip 14561,,,,
Hip 15692,,,,K3III
BD+50°800,,,,
Hip 18153,,,,A9V
Hip 24233,,,,
BD+35°1179,,,,
Hip 28042,,,,
Hip 28743,,,,F5/F6V
Hip 33405,,,,F0
Hip 35543,,,,A5
Hip 39327,,,,
BD+04°1897,,,,
BD+36°1948,,,,
Hip 47664,,,,A5m
BD+14°2275,,,,
BD+23°2265,,,,
Hip 54960,,,,A3V
BD+26°2203,,,,
BD-18°3324,,,,
Hip 60797,,,,Am
Hip 60813,,,,F2III
BD+36°2279,,,,
36 Comae Berenices,36 Comae Berenices,,,M0III
BD+87°125,,,,
Hip 66285,,,,
BD+53°1649,,,,
BD+06°2814,,,,
BD-20°4100,,,,
BD-17°4604,,,,
Hip 81939,,,,A2V
BD-04°4907,,,,
Hip 98414,,,,
Hip 105933,,,,F0
Hip 115578,,,,
BD+07°5081,,,,
Hip 117569,,,,A6V
Hip 4696,,,,K2III
Hip 9389,,,,
Hip 14254,,,,F5V
BD+02°669,,,,
BD+11°676,,,,
Hip 43447,,,,
Hip 44868,,,,
BD-14°2894,,,,
Hip 50320,,,,A3V
Hip 53784,,,,
BD+64°834,,,,
Hip 59960,,,,
Hip 64212,,,,K3III
Hip 64332,,,,F7IV
BD-11°3476,,,,
Hip 69185,,,,G8V
Hip 75788,,,,A3m
BD+25°3019,,,,
BD-12°4485,,,,
Hip 80708,,,,K5
Hip 84734,,,,A2V
Hip 98178,,,,
Hip 104467,,,,
Hip 104481,,,,F5IV
Hip 111909,,,,K1III
Hip 6482,,,,
BD+20°307,,,,
Hip 13220,,,,
Hip 17214,,,,F2III
Hip 27280,,,,G8III
BD+28°1696,,,,
BD+27°1968,,,,
Hip 54835,,,,F2
Hip 55060,,,,A3
Hip 57860,,,,
BD+28°2087,,,,
Hip 84987,,,,
Hip 113398,,,,F2
Hip 114982,,,,
Hip 117797,,,,A5V
BD+11°56,,,,
BD+28°341,,,,
BD+06°455,,,,
BD+19°658,,,,
Hip 25143,,,,A3V
Hip 35961,,,,
Hip 38917,,,,K2III
Hip 46297,,,,A7III
BD-02°2924,,,,
Hip 48051,,,,F0
Hip 51054,,,,F3/F5V
29 Delta Sextantis,29 Delta Sextantis,,,B9.5V
Hip 54721,,,,A3V
Hip 55423,,,,F2
BD+13°2620,,,,
BD+13°2723,,,,
Hip 81219,,,,F8
Hip 84033,,,,G8/K0III+..
Hip 105109,,,,
Hip 115503,,,,F2
BD+52°73,,,,
Hip 6791,,,,F3IV
Hip 9148,,,,
Hip 14547,,,,K1III
BD+45°727,,,,
BD-00°590,,,,
Hip 20106,,,,A3m...
Hip 31059,,,,
BD+20°2305,,,,
BD+04°2240,,,,
Hip 56138,,,,
BD+01°2599,,,,
Hip 57626,,,,
Hip 58930,,,,
Hip 62988,,,,
BD+10°2523,,,,
Hip 73221,,,,
Hip 74705,,,,
Hip 94950,,,,
Hip 99111,,,,F0
Hip 99841,,,,K0III
BD-07°319,,,,
Hip 17795,,,,
BD+46°1090,,,,
Hip 45158,,,,G8III
Hip 45829,,,,K0IV
Hip 46891,,,,A3Vnn
Hip 49259,,,,A0V
Hip 57529,,,,F5Iab:
Hip 71316,,,,A3
Hip 100597,,,,
Hip 110419,,,,F3/F5V
Hip 823,,,,
BD+02°105,,,,
59 Upsilon Ceti,59 Upsilon Ceti,,,K5/M0III
Hip 10255,,,,
BD+12°301,,,,
Hip 11429,,,,F5II
Hip 12238,,,,G5
BD-00°415,,,,
Hip 14613,,,,G3V
Hip 17663,,,,
Hip 20627,,,,
Hip 25856,,,,A7/F0V + F/G
BD-21°1260,,,,
BD+36°1409,,,,
Hip 34147,,,,
BD+55°1210,,,,
BD+36°1670,,,,
Hip 39067,,,,K2
BD+00°2290,,,,
BD-20°2743,,,,
Hip 44437,,,,K0
Wo 9327,,Wo 9327,,A0sp...
BD+06°2318,,,,
BD+14°2402,,,,
BD+26°2307,,,,
Hip 60197,,,,F3V + F3V
Hip 60561,,,,A0V
Hip 61087,,,,
Hip 64389,,,,
Hip 69650,,,,A4V
Hip 69669,,,,
Hip 69967,,,,
Hip 72415,,,,
Hip 74182,,,,F2
BD+45°2443,,,,
Hip 85454,,,,
Hip 95871,,,,
Hip 97690,,,,F6V
Hip 98152,,,,A4IV/V
BD-13°5661,,,,
BD+57°2501,,,,
Hip 110608,,,,
BD+08°4883,,,,
Hip 113902,,,,K0III
Hip 114388,,,,
Hip 114933,,,,K0III
BD+35°5028,,,,
Hip 118027,,,,A3V
BD+11°71,,,,
Hip 3453,,,,
BD+01°149,,,,
Hip 9883,,,,
BD+01°436,,,,
BD+30°404,,,,
Hip 13280,,,,
Hip 23492,,,,F2
Hip 24425,,,,F0
Hip 38266,,,,A3V
BD+19°2275,,,,
BD+51°1634,,,,
Hip 70038,,,,G5
Hip 81027,,,,A5
Hip 116305,,,,
BD+23°4813,,,,
Hip 117860,,,,A2V+...
BD+08°86,,,,
Hip 6451,,,,K0
BD+12°264,,,,
BD-18°696,,,,
Hip 19718,,,,A2m
BD+08°671,,,,
Hip 22176,,,,K4III
46 Tau Geminorum,46 Tau Geminorum,,,K2III
Hip 36616,,,,K2III
BD+40°2047,,,,
BD+34°1984,,,,
BD+43°2131,,,,
BD-03°3629,,,,
BD+28°2475,,,,F6V
Hip 85207,,,,K0III
BD-20°5705,,,,
Hip 98174,,,,B9.5IV
BD+23°4065,,,,
11 Lacertae,11 Lacertae,,,K3III
BD+26°4715,,,,
Hip 1636,,,,
BD+10°37,,,,
Hip 4566,,,,F8
51 Orionis,51 Orionis,,,K1III
BD+27°948,,,,
Hip 40695,,,,
BD-20°3009,,,,
BD+35°2064,,,,
Hip 54605,,,,A8III/IV
Hip 56460,,,,
Epsilon Muscae,Epsilon Muscae,,,M5III
BD+35°2343,,,,
BD+25°2698,,,,
Hip 88351,,,,
Hip 88851,,,,
Hip 89717,,,,
Hip 98482,,,,K0III
Hip 104349,,,,
Hip 109584,,,,K0III
Hip 111827,,,,
Hip 114810,,,,F0III
Hip 4720,,,,
Hip 9985,,,,
BD-16°452,,,,
BD+00°916,,,,
BD-08°1078,,,,
BD+33°1193,,,,
BD+50°1667,,,,
BD+09°2301,,,,
Hip 62209,,,,A3V
Hip 67902,,,,F2
BD-19°4054,,,,
35 Sigma Herculis,35 Sigma Herculis,,,B9Vvar
BD-16°5481,,,,
BD+11°4331,,,,
BD+40°4435,,,,
Hip 114428,,,,A7III
BD+12°5048,,,,
BD+05°5253,,,,
BD+13°442,,,,
BD+23°756,,,,
Hip 29842,,,,K2III
Hip 35691,,,,
Hip 36896,,,,K0III
BD+17°1615,,,,
BD+42°1847,,,,
Hip 50020,,,,
Hip 57858,,,,K0
Hip 64323,,,,
BD+56°1658,,,,
Hip 65949,,,,F0IV/V
Hip 65992,,,,
Hip 67170,,,,
Hip 70693,,,,F8V
BD+07°2797,,,,
BD+19°2979,,,,
Hip 84252,,,,
BD+23°3510,,,,
Hip 100649,,,,
BD+46°3124,,,,F6V
14 Pegasi,14 Pegasi,,,A1Vs
Hip 10,,,,
BD+19°230,,,,
Hip 6897,,,,A8V
Hip 8533,,,,
65 Arietis,65 Arietis,,,A1V
Hip 17436,,,,K1III
BD+11°579,,,,
Hip 20418,,,,
Hip 20739,,,,
Hip 20999,,,,
Hip 26963,,,,
Hip 29746,,,,F5IV:
Hip 29772,,,,
BD+33°1318,,,,
BD+25°1519,,,,
Hip 34276,,,,A0V
Hip 35101,,,,F2
Hip 39561,,,,
BD+56°1274,,,,
Hip 44698,,,,
BD+08°2389,,,,
BD+44°2009,,,,
BD+28°2109,,,,
BD+13°2551,,,,
BD+29°2303,,,,
Hip 62140,,,,Am
BD+48°2061,,,,
Hip 62867,,,,K3/K4III
1 Boötis,1 Boötis,,,A1V
Hip 69265,,,,A2
BD+03°3099,,,,
BD+40°3036,,,,
37 Herculis,37 Herculis,,,A1V
Hip 83460,,,,
Hip 83471,,,,
Hip 84529,,,,
BD-06°4587,,,,
Hip 89315,,,,
Hip 92958,,,,
BD+27°3485,,,,
BD+67°1282,,,,
Hip 105631,,,,F3IV/V
Hip 106055,,,,K0
Hip 107334,,,,A5
Hip 109848,,,,
Hip 110916,,,,
BD-08°5947,,,,
Hip 1302,,,,A2V
Hip 3137,,,,K1IIICN...
BD-13°381,,,,
BD-15°830,,,,
Hip 33427,,,,
BD-20°2992,,,,
Hip 51414,,,,F8
2 Epsilon Corvi,2 Epsilon Corvi,,,K2III
Hip 62572,,,,A1IIIsh
41 Comae Berenices,41 Comae Berenices,,,K5III
BD+34°2454,,,,
Hip 69413,,,,
Hip 83402,,,,A3IV
BD+45°2658,,,,
Hip 88898,,,,F2
Hip 90851,,,,F5
