Display Name,BayerFlamsteed,Gliese,Proper Name,Spectral Class
13 Gamma Leporis,13 Gamma Leporis,Gl 216,,F7V
Gl 357,,Gl 357,,K
Gl 433,,Gl 433,,M2V
NN 4247,,NN 4247,,
Gl 424,,Gl 424,,M1Vvar
NN 3801,,NN 3801,,M:
Hip 82724,,,,Mp
NN 3421,,NN 3421,,M4.5
Gl 442 B,,Gl 442 B,,
Gl 451 B,,Gl 451 B,,
96 Kappa 1 Ceti,96 Kappa 1 Ceti,Gl 137,,G5Vvar
GJ 2066,,GJ 2066,,
Gl 442,,Gl 442,,G3/G5V
Groombridge 1830,,Gl 451,Groombridge 1830,G8Vp
43 Beta Comae Berenices,43 Beta Comae Berenices,Gl 502,,G0V
Gamma Pavonis,Gamma Pavonis,Gl 827,,F6V
Gl 176,,Gl 176,,dM2.5e
NN 3380,,NN 3380,,m
GJ 1253,,GJ 1253,,M5
NN 3325,,NN 3325,,K:
Gl 190,,Gl 190,,M5
Gl 84,,Gl 84,,M3
BD+18°683,,,,M2
Gl 226,,Gl 226,,M3
GJ 1065,,GJ 1065,,dM4
NN 3306,,NN 3306,,DQ7
Gl 432 B,,Gl 432 B,,m
NN 3988,,NN 3988,,k-m
NN 3135,,NN 3135,,K:...
Gl 358,,Gl 358,,M:
Gl 432,,Gl 432,,K0V
61 Ursae Majoris,61 Ursae Majoris,Gl 434,,G8Vvar
BD+43°2796,,Gl 694,,M3
GJ 1001,,GJ 1001,,M3.5
NN 3253,,NN 3253,,M4.5
NN 3275,,NN 3275,,dM4.5e
Gl 633,,Gl 633,,M3
GJ 1207,,GJ 1207,,dM3.5
NN 3855,,NN 3855,,M6.5
GJ 1125,,GJ 1125,,K:...
Gl 479,,Gl 479,,M3
Gl 102,,Gl 102,,M4
GJ 1138,,GJ 1138,,m
GJ 1256,,GJ 1256,,dM4-5
Gl 239,,Gl 239,,M1:
Gl 367,,Gl 367,,M1:
Gl 569,,Gl 569,,M2Ve
12 Ophiuchi,12 Ophiuchi,Gl 631,,K2V
BD+33°2777,,Gl 638,,K7V
Gl 680,,Gl 680,,K5
GJ 2012,,GJ 2012,,DQ9
NN 3049,,NN 3049,,M4
Wo 9492,,Wo 9492,,M3
Hip 84581,,,,
Gl 803,,Gl 803,,M1Ve
GJ 1028,,GJ 1028,,m
NN 3119,,NN 3119,,m
NN 3126,,NN 3126,,M4
NN 3304,,NN 3304,,m
NN 3512,,NN 3512,,m
NN 3959,,NN 3959,,m+
NN 3976,,NN 3976,,m
NN 4248,,NN 4248,,M3.5
Gl 75,,Gl 75,,K0V
Hip 76362,,,,
BD+05°3409,,Gl 678.1,,M1V...
Gl 22 B,,Gl 22 B,,dM3.5
NN 3079,,NN 3079,,DAwk
Gl 609,,Gl 609,,M3
Gl 22,,Gl 22,,M2.5Ve
BD+61°195,,Gl 49,,K5V...
Alpha Mensae,Alpha Mensae,Gl 231,,G5V
BD+62°1325,,,,K3V
Gl 748,,Gl 748,,M4
Gl 127.1B,,Gl 127.1B,,
NN 3526,,NN 3526,,m
GJ 1129,,GJ 1129,,m
NN 3571,,NN 3571,,m
Gl 568 B,,Gl 568 B,,
GJ 1235,,GJ 1235,,k-m
Gl 799 B,,Gl 799 B,,dM4.5e
Gl 852,,Gl 852,,dM4.5e
Gl 852 B,,Gl 852 B,,dM5 e
Gl 127.1,,Gl 127.1,,DA
BD+52°857,,Gl 172,,K8V
Hip 50798,,,,
Gl 436,,Gl 436,,M3
Gl 453,,Gl 453,,K4V
Gl 487,,Gl 487,,M4
BD-01°2892,,Gl 536,,K5
Gl 568,,Gl 568,,
Gl 799,,Gl 799,,Mpe
Hip 117828,,,,M...
NN 3182,,NN 3182,,DC9
GJ 1083,,GJ 1083,,m
Gl 339.1,,Gl 339.1,,DXP7
