CountyId,AccommodationFood,AdministrativeSupportWaste,AgricultureForestryFishingHunting,AllSectors,ArtsEntertainmentRecreation,BDG25,Construction,Education,FinanceInsurance,GDPPerCapita,HealthcareSocialAssistance,Income,IndustriesNotClassified,Information,Management,Manufacturing,MiningQuarryingOilGas,OtherServices,PopulationDensity,Poverty,ProfessionalScientificTechnical,RealEstate,RetailTrade,SubstanceAbuse,TransportationWarehousing,Unemployment,Utilities,WholesaleTrade
42029,283751.0,633948.0,21539.0,17415351.0,101704.0,100394.0,661775.0,254120.0,2608483.0,42210.0,1608862.0,90555,678.0,1101566.0,2248032.0,1089396.0,4925.0,389904.0,573.4,6.0,2811279.0,212717.0,1020042.0,12.1,271269.0,4.6,NA,1920717.0
55089,50818.0,65127.0,255.0,1722412.0,14096.0,18290.0,70609.0,57069.0,161859.0,42041.0,270116.0,80135,97.0,16529.0,28708.0,528370.0,NA,43560.0,354.9,5.2,145815.0,10733.0,127315.0,6.1,14151.0,3.4,NA,107155.0
08019,10865.0,1390.0,NA,109316.0,9944.0,1827.0,3674.0,NA,555.0,41716.0,3988.0,67262,NA,222.0,NA,1277.0,NA,998.0,23.6,9.6,5639.0,726.0,7740.0,22.1,3330.0,3.3,NA,1276.0
06083,545897.0,257322.0,31370.0,7277533.0,85948.0,51447.0,381134.0,135790.0,411562.0,30352.0,1168989.0,63049,1887.0,565387.0,307304.0,1029569.0,68303.0,193863.0,145.9,15.6,731198.0,129285.0,577468.0,16.1,137843.0,4.8,28949.0,488465.0
42091,580036.0,1826496.0,1162.0,30085010.0,179196.0,149379.0,1723907.0,575769.0,3717663.0,41472.0,3673519.0,83258,1817.0,1146188.0,2839842.0,2961429.0,15591.0,613091.0,1552.6,6.6,4082041.0,511587.0,1767389.0,16.1,420363.0,4.7,350405.0,3097519.0
47187,201515.0,544598.0,1211.0,6807491.0,81715.0,46158.0,337364.0,44796.0,984469.0,41292.0,842997.0,104367,738.0,380052.0,1518721.0,117018.0,NA,142671.0,217.3,5.0,725736.0,108565.0,429855.0,8.1,57032.0,3.7,18236.0,268228.0
08113,37730.0,7144.0,NA,149270.0,16537.0,2284.0,21577.0,3650.0,4505.0,24711.0,5463.0,62793,NA,1679.0,NA,4866.0,NA,9663.0,5.1,11.0,9192.0,10289.0,13165.0,16.1,1071.0,2.4,1536.0,837.0
24003,525981.0,804114.0,781.0,12650650.0,200060.0,85105.0,951604.0,135422.0,469021.0,40415.0,1393968.0,90825,998.0,486116.0,326661.0,1086043.0,669.0,408539.0,1177.2,6.0,3350075.0,230605.0,909211.0,18.1,631437.0,4.0,72200.0,667145.0
36079,36804.0,37739.0,772.0,922523.0,23710.0,15145.0,111287.0,8245.0,45078.0,40309.0,266442.0,90497,45.0,11215.0,10873.0,69610.0,NA,44328.0,414.0,6.0,67499.0,9390.0,88969.0,8.1,19496.0,3.9,11685.0,58312.0
44005,145561.0,48363.0,1505.0,1312765.0,43657.0,15596.0,70297.0,61525.0,91164.0,40293.0,164899.0,66096,376.0,26477.0,14824.0,151212.0,NA,50588.0,821.1,11.1,228004.0,23089.0,121437.0,14.1,23692.0,4.8,6633.0,39275.0
39041,162414.0,128036.0,221.0,3877719.0,39366.0,40000.0,127344.0,100647.0,1305225.0,40189.0,280330.0,97679,320.0,148924.0,201857.0,354880.0,NA,138779.0,248.6,4.4,255951.0,58386.0,298080.0,8.1,130136.0,3.4,14781.0,129814.0
09007,118813.0,80666.0,56.0,2922831.0,40068.0,26277.0,183033.0,111940.0,141388.0,39992.0,718330.0,82878,221.0,50205.0,7740.0,628370.0,799.0,64527.0,419.9,6.7,207788.0,57853.0,252216.0,16.1,27536.0,4.8,38083.0,193199.0
53033,2586124.0,3628718.0,131641.0,83213348.0,1120788.0,425117.0,4211662.0,849404.0,4405784.0,39911.0,8330227.0,81816,6497.0,18024621.0,8933281.0,5995864.0,29675.0,1828554.0,817.0,9.8,9956452.0,1392677.0,3617947.0,18.1,3097065.0,3.9,584112.0,4482255.0
