CountyId,Total,NaturalResources,Construction,Manufacturing,WholesaleTrade,RetailTrade,TransportationUtilities,Information,Finance,ProfessionalScientific,Education,ArtsEntertainment,OtherServices,Administration
27119,15978,7.454,7.154,10.665,3.267,11.672,5.652,1.389,3.273,4.469,27.938,7.817,5.420,3.830
30005,2574,19.075,8.974,0.894,2.292,8.974,4.584,0.544,3.652,4.429,24.359,5.556,3.341,13.326
26131,2048,6.445,8.301,8.154,0.586,10.400,7.178,2.393,4.102,3.467,22.949,12.158,6.348,7.520
24009,45249,0.338,10.144,4.073,2.411,11.101,5.474,2.168,4.946,13.565,17.647,7.565,4.959,15.609
51031,26131,1.026,7.654,15.690,2.560,12.104,5.411,1.504,3.456,8.545,24.339,7.263,6.429,4.018
13201,2373,14.454,4.593,11.420,2.191,11.673,4.509,0.464,6.237,5.858,24.737,4.340,4.973,4.551
8051,9016,2.784,13.077,1.708,0.632,13.620,5.113,1.919,4.048,9.982,17.258,21.606,5.091,3.161
47055,11881,2.432,6.826,25.579,2.264,12.507,4.385,1.094,3.947,5.521,20.587,5.681,4.284,4.890
22089,24804,0.968,9.801,12.272,4.415,11.127,8.031,1.189,4.358,8.410,21.190,9.023,4.915,4.302
21217,10395,4.165,5.676,15.594,2.030,16.065,3.992,1.655,3.733,6.003,24.839,8.235,3.877,4.137
36061,884457,0.058,1.759,3.047,2.193,7.898,2.435,6.528,16.513,19.673,22.330,10.828,4.145,2.592
49041,8449,10.924,7.255,5.456,2.888,17.185,9.208,0.379,2.036,4.663,20.606,7.989,3.870,7.539
13085,9787,2.575,7.960,10.524,4.230,14.090,6.846,1.216,6.774,11.914,16.716,9.349,4.445,3.362
36069,53394,1.584,5.620,14.268,2.255,13.297,3.034,2.058,4.628,7.787,28.531,8.853,4.272,3.811
30097,1613,24.179,9.981,2.728,1.240,9.237,6.572,0.496,6.014,3.720,18.165,7.192,5.518,4.960
21197,4360,2.546,7.041,20.505,2.775,7.683,6.628,0.963,2.339,8.050,21.628,9.977,4.656,5.206
17063,23887,1.637,9.336,10.625,3.659,12.731,8.980,1.109,4.651,7.301,22.774,9.842,4.329,3.027
48495,3271,20.544,11.189,2.874,6.145,8.713,12.198,0.367,3.607,3.791,17.273,4.830,3.883,4.586
48223,15235,6.885,7.089,11.408,5.107,13.174,6.209,1.057,5.422,6.045,21.989,7.417,4.529,3.669
39117,16096,2.833,9.089,20.055,2.970,11.686,3.902,1.665,4.896,5.803,21.285,6.399,4.691,4.728
20179,1286,28.849,8.165,3.110,0.933,11.353,5.599,1.555,6.299,4.355,15.708,3.655,6.221,4.199
29211,2794,10.129,6.263,29.993,1.646,8.339,4.975,0.931,3.472,4.653,20.079,3.508,3.400,2.613
5047,6592,6.660,8.404,18.249,2.184,10.194,6.599,0.713,3.368,4.414,23.635,5.567,3.535,6.478
48321,15874,6.142,10.016,11.125,2.236,10.275,10.810,0.409,3.364,9.342,20.530,8.366,5.563,1.821
21169,4014,8.022,5.805,24.664,1.918,12.581,6.328,0.523,3.488,7.773,17.015,2.915,3.737,5.232
48391,3096,17.022,7.332,5.523,3.133,10.917,4.942,0.711,6.492,6.395,16.893,7.364,7.332,5.943
28149,19554,2.056,8.627,12.325,1.417,8.765,5.625,1.176,2.230,9.865,22.307,14.846,4.884,5.876
19097,9687,7.350,6.886,18.747,2.261,15.371,6.545,1.528,5.409,3.210,19.139,6.431,4.491,2.632
26011,5569,3.555,5.854,15.676,1.939,14.617,5.513,0.898,3.932,5.243,24.708,10.523,3.555,3.986
32023,14143,8.577,8.860,3.684,1.195,12.607,5.268,2.022,4.023,7.700,14.566,17.464,5.543,8.492
30051,950,38.421,5.684,1.263,2.421,9.368,3.895,0.000,2.737,2.632,16.842,7.053,3.474,6.211
54109,6451,21.919,3.240,2.790,1.860,13.114,4.836,1.876,2.248,4.759,27.376,7.084,2.682,6.216
6099,208428,5.546,6.781,12.009,4.470,13.730,5.626,1.164,3.676,8.629,21.587,8.214,4.795,3.772
39151,174941,1.145,5.816,17.708,2.923,11.934,4.618,1.587,5.261,8.625,24.180,8.905,4.684,2.615
13321,8359,4.139,9.236,12.454,2.919,12.705,7.178,0.694,3.565,7.477,20.254,8.039,3.900,7.441
29141,6875,5.120,8.553,13.585,1.600,19.855,4.553,1.135,3.709,5.047,18.138,7.200,6.516,4.989
19079,7476,7.999,6.140,15.904,4.307,12.092,4.267,2.702,3.906,5.912,23.622,5.177,4.815,3.157
21123,5771,1.733,7.191,22.145,2.409,12.338,5.857,1.733,4.488,4.921,16.652,8.161,8.751,3.622
20149,10795,3.687,10.032,10.357,1.742,11.691,3.918,1.417,6.068,6.670,29.458,5.632,4.502,4.826
37149,8270,0.798,10.278,11.862,3.011,14.946,3.736,1.052,4.099,10.278,24.341,7.473,3.531,4.595
51111,4523,4.599,10.038,11.939,1.415,11.453,3.560,2.432,3.073,6.367,25.249,4.267,5.063,10.546
48037,35959,1.504,6.797,8.693,2.731,12.520,4.636,1.029,5.264,8.276,23.955,8.724,5.534,10.337
8011,1212,21.122,6.436,1.073,0.413,3.713,3.960,1.898,3.135,6.931,21.782,2.475,5.363,21.700
8125,4878,26.527,8.139,2.788,2.317,10.414,4.490,0.636,4.920,5.925,18.184,7.565,4.920,3.178
28061,6257,6.057,6.904,26.099,3.756,5.162,4.970,2.269,3.468,3.276,22.231,7.591,2.525,5.690
45027,11443,3.260,7.122,14.786,1.678,14.044,5.453,1.617,5.305,6.065,22.686,8.022,4.308,5.654
5055,17659,3.233,4.479,22.985,3.460,12.345,5.799,1.087,3.885,4.332,24.039,5.861,4.836,3.658
27001,6428,2.676,9.256,9.023,2.225,12.274,5.803,1.307,4.154,4.387,23.553,14.468,4.978,5.896
51520,7306,0.452,4.161,11.361,2.532,13.619,3.367,2.765,4.558,10.211,23.939,12.866,5.817,4.353
29227,973,16.341,8.736,11.819,1.336,10.894,3.803,0.514,4.522,5.242,18.911,6.886,4.933,6.064
21109,3993,1.227,8.064,21.062,1.327,12.597,9.917,3.231,3.030,3.606,25.169,2.179,3.631,4.959
17177,21853,5.212,5.688,19.004,2.402,11.019,4.466,0.668,6.434,6.736,24.175,6.635,5.134,2.425
36081,1104930,0.158,6.607,4.232,2.602,10.508,7.906,2.592,8.068,10.978,23.854,11.784,6.692,4.020
13165,3035,3.756,11.334,13.114,1.285,10.939,12.026,0.527,1.120,7.809,24.514,4.382,3.789,5.404
21171,3943,9.232,7.329,19.757,3.246,13.340,2.130,1.446,2.891,3.018,23.256,5.022,4.819,4.514
