City,State,Population,Latitude,Longitude
LaGrange ,GA,28401,33.0362218,-85.0322444
Northampton ,MA,28379,42.3250896,-72.64120129999999
Los Altos ,CA,28349,37.3852183,-122.1141298
Sun Prairie ,WI,28322,43.1836046,-89.2137254
Gladstone ,MO,28243,39.2038918,-94.554677
Maywood ,CA,28224,33.9866807,-118.185349
Salisbury ,MD,28200,38.3606736,-75.5993692
Raytown ,MO,28194,39.0086171,-94.46356379999999
Port Chester,NY,28171,41.0017643,-73.66568339999999
North Ridgeville ,OH,28153,41.3894905,-82.01903209999999
Midvale ,UT,28129,40.6110589,-111.8999353
Soledad ,CA,28124,36.424687,-121.3263187
Newburgh ,NY,28101,41.5034271,-74.0104178
Dania Beach ,FL,28093,26.052311,-80.1439343
Agawam ,MA,28091,42.0695391,-72.61481169999999
Harvey ,IL,28056,41.6100344,-87.6467131
Rexburg ,ID,28028,43.8231096,-111.7924237
Kent ,OH,27983,41.1536674,-81.3578859
Henderson ,KY,27933,37.8361538,-87.59001339999999
Winter Park ,FL,27909,28.5999998,-81.33923519999999
Hilliard ,OH,27901,40.0333961,-83.1582451
Hobart ,IN,27891,41.5322592,-87.2550353
Round Lake Beach,IL,27855,42.37168810000001,-88.0900815
Clearfield ,UT,27851,41.1107771,-112.0260538
Plainfield,IN,27832,39.70421229999999,-86.39943869999999
Kingman ,AZ,27817,35.189443,-114.0530065
Monterey ,CA,27763,36.6002378,-121.8946761
Florence ,KY,27745,38.9989499,-84.62661109999999
Oak Forest ,IL,27740,41.6028116,-87.74393839999999
Southgate ,MI,27739,42.2139284,-83.19381469999999
Garfield Heights ,OH,27734,41.4169974,-81.6059581
Burlingame ,CA,27706,37.5778696,-122.34809
Savage ,MN,27692,44.7647329,-93.3591147
Oak Ridge ,TN,27677,36.0103561,-84.26964490000002
Laramie ,WY,27664,41.3113669,-105.5911007
Prichard ,AL,27662,30.74515449999999,-88.0896618
Monroeville,PA,27639,40.4211798,-79.7881024
Morristown ,TN,27636,36.2139814,-83.29489219999999
Russellville ,AR,27602,35.2784173,-93.1337856
Burbank ,IL,27567,41.7467619,-87.76073799999999
O'Fallon ,IL,27540,38.592323,-89.910991
Batavia ,IL,27502,41.8500284,-88.3125738
Owasso ,OK,27467,36.2695388,-95.8547119
West Springfield ,MA,27459,42.1070383,-72.6203675
Lake Jackson ,TX,27417,29.0338575,-95.4343859
Brooklyn Center ,MN,27402,45.076076,-93.3327283
Xenia ,OH,27357,39.6847822,-83.9296526
Mason City ,IA,27337,43.1535728,-93.20103669999999
Frankfort ,KY,27322,38.2009055,-84.87328350000001
Watertown ,NY,27310,43.9747838,-75.91075649999999
De Land ,FL,27243,29.028318,-81.3031179
San Carlos ,CA,27238,37.5071591,-122.2605222
Slidell ,LA,27183,30.2751945,-89.78117449999999
Statesboro ,GA,27158,32.4487876,-81.7831674
Maryville ,TN,27156,35.7564719,-83.9704593
Glen Ellyn,IL,27142,41.8775293,-88.0670118
Garner,NC,27138,35.7112642,-78.61417089999999
Auburn ,NY,27138,42.9317335,-76.5660529
West Memphis ,AR,27070,35.1464797,-90.1845388
Wake Forest,NC,27068,35.9798734,-78.50972279999999
American Fork ,UT,27064,40.3768954,-111.7957645
Oakdale ,MN,27034,44.9630216,-92.9649361
Anderson ,SC,27027,34.5034394,-82.6501332
Suisun City ,CA,26977,38.2382474,-122.040244
College Park ,MD,26925,38.9896967,-76.93776
Pullman ,WA,26920,46.7297771,-117.1817377
Matthews,NC,26901,35.1168131,-80.72368039999999
Glen Cove ,NY,26895,40.8623217,-73.6337389
Gillette ,WY,26871,44.2910915,-105.5022205
McHenry ,IL,26862,42.333355,-88.2667534
Opelika ,AL,26808,32.6454116,-85.3782795
Winona ,MN,26785,44.0553908,-91.6663523
Kirkwood ,MO,26760,38.5833862,-90.406785
Garden City ,MI,26743,42.3255928,-83.3310422
Kankakee ,IL,26710,41.1200325,-87.8611531
Melrose ,MA,26708,42.4584292,-71.0661633
Weatherford ,TX,26686,32.7592955,-97.7972544
